Vehicle Lighting System Analysis Results
==================================================
Monitoring started at 2025-05-22 02:17:59

=== Update at 2025-05-22 02:17:59 ===
Light: Low Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: Hazard Lights | Result: desactivated
Light: Left Turn | Result: activated
Light: Right Turn | Result: activated
Light: Parking Left | Result: desactivated
Light: Parking Right | Result: desactivated

=== Update at 2025-05-22 02:18:50 ===
Light: Low Beam | Result: activated
Light: High Beam | Result: FAILED
Light: Hazard Lights | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Parking Left | Result: desactivated
Light: Parking Right | Result: desactivated

Monitoring stopped at 2025-05-22 02:22:18
Light: Low Beam | Result: activated
Light: High Beam | Result: FAILED
Light: Hazard Lights | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Parking Left | Result: desactivated
Light: Parking Right | Result: desactivated
Light: Low Beam | Result: activated
Light: High Beam | Result: FAILED
Light: Hazard Lights | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Parking Left | Result: desactivated
Light: Parking Right | Result: desactivated
Light: Low Beam | Result: activated
Light: High Beam | Result: activated
Light: Hazard Lights | Result: activated
Light: Left Turn | Result: activated
Light: Right Turn | Result: activated
Light: Parking Left | Result: desactivated
Light: Parking Right | Result: desactivated
Light: Low Beam | Result: activated
Light: High Beam | Result: activated
Light: Hazard Lights | Result: activated
Light: Left Turn | Result: activated
Light: Right Turn | Result: activated
Light: Parking Left | Result: desactivated
Light: Parking Right | Result: desactivated
Light: Low Beam | Result: FAILED
Light: High Beam | Result: activated
Light: Hazard Lights | Result: activated
Light: Left Turn | Result: activated
Light: Right Turn | Result: activated
Light: Parking Left | Result: desactivated
Light: Parking Right | Result: desactivated
Light: Low Beam | Result: activated
Light: High Beam | Result: activated
Light: Hazard Lights | Result: activated
Light: Left Turn | Result: activated
Light: Right Turn | Result: activated
Light: Parking Left | Result: desactivated
Light: Parking Right | Result: desactivated
Light: Low Beam | Result: activated
Light: High Beam | Result: activated
Light: Hazard Lights | Result: activated
Light: Left Turn | Result: activated
Light: Right Turn | Result: activated
Light: Parking Left | Result: desactivated
Light: Parking Right | Result: desactivated
Light: Low Beam | Result: FAILED
Light: High Beam | Result: activated
Light: Hazard Lights | Result: activated
Light: Left Turn | Result: activated
Light: Right Turn | Result: activated
Light: Parking Left | Result: desactivated
Light: Parking Right | Result: desactivated
Light: Parking Right | Result: activated
Light: Parking Right | Result: desactivated
Light: Parking Right | Result: deactivatedLight: Low Beam | Result: FAILED
Light: High Beam | Result: activated
Light: Hazard Lights | Result: activated
Light: Left Turn | Result: activated
Light: Right Turn | Result: activated
Light: Parking Left | Result: deactivated
Light: Parking Right | Result: deactivated
Light: Low Beam | Result: activated
Light: High Beam | Result: FAILED
Light: Hazard Lights | Result: activated
Light: Left Turn | Result: activated
Light: Right Turn | Result: activated
Light: Parking Left | Result: deactivated
Light: Parking Right | Result: deactivated
Light: Parking Right | Result: activatedLight: Low Beam | Result: activated
Light: High Beam | Result: FAILED
Light: Hazard Lights | Result: activated
Light: Left Turn | Result: activated
Light: Right Turn | Result: activated
Light: Parking Left | Result: deactivated
Light: Parking Right | Result: deactivated
Light: Low Beam | Result: activated
Light: High Beam | Result: FAILED
Light: Hazard Lights | Result: activated
Light: Left Turn | Result: activated
Light: Right Turn | Result: activated
Light: Parking Left | Result: deactivated
Light: Parking Right | Result: deactivated
Light: Low Beam | Result: activated
Light: High Beam | Result: activated
Light: Hazard Lights | Result: activated
Light: Left Turn | Result: activated
Light: Right Turn | Result: activated
Light: Parking Left | Result: deactivated
Light: Parking Right | Result: deactivated
Light: Low Beam | Result: activated
Light: High Beam | Result: FAILED
Light: Hazard Lights | Result: activated
Light: Left Turn | Result: activated
Light: Right Turn | Result: activated
Light: Parking Left | Result: deactivated
Light: Parking Right | Result: deactivated
Light: Low Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: Hazard Lights | Result: deactivated
Light: Left Turn | Result: deactivated
Light: Right Turn | Result: activated
Light: Parking Left | Result: deactivated
Light: Parking Right | Result: deactivated
Light: Low Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: Hazard Lights | Result: deactivated
Light: Left Turn | Result: deactivated
Light: Right Turn | Result: deactivated
Light: Parking Left | Result: deactivated
Light: Parking Right | Result: deactivated
Light: Low Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: Hazard Lights | Result: deactivated
Light: Left Turn | Result: deactivated
Light: Right Turn | Result: deactivated
Light: Parking Left | Result: deactivated
Light: Parking Right | Result: deactivated
Light: Low Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: Hazard Lights | Result: deactivated
Light: Left Turn | Result: deactivated
Light: Right Turn | Result: activated
Light: Parking Left | Result: deactivated
Light: Parking Right | Result: deactivated
Light: Low Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: Hazard Lights | Result: deactivated
Light: Left Turn | Result: deactivated
Light: Right Turn | Result: activated
Light: Parking Left | Result: deactivated
Light: Parking Right | Result: deactivated
