Vehicle Lighting System Analysis Results
==================================================

=== Initial Analysis ===
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: activated
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: activated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: activated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Low Beam | Result: desactivated
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: High Beam | Result: FAILED
