LEFT_TURN | OFF | STAND
HIGH_BEAM | OFF | STAND
LEFT_TURN | ON | FAHREN
LEFT_TURN | OFF | FAHREN
LOW_BEAM | ON | WOHNEN
LOW_BEAM | OFF | WOHNEN
LEFT_TURN | ON | FAHREN
LEFT_TURN | ON | FAHREN
LEFT_TURN | ON | FAHREN
LEFT_TURN | ON | FAHREN
LEFT_TURN | OFF | FAHREN
PARKING_LEFT | ON | PARKING
PARKING_LEFT | OFF | PARKING
HIGH_BEAM | ON | FAHREN
HIGH_BEAM | OFF | FAHREN
HAZARD_LIGHTS | ON | STAND
HAZARD_LIGHTS | OFF | STAND
HAZARD_LIGHTS | ON | STAND
HAZARD_LIGHTS | OFF | STAND
HAZARD_LIGHTS | ON | STAND
HAZARD_LIGHTS | ON | STAND
HAZARD_LIGHTS | ACTIVATED | STAND
HAZARD_LIGHTS | DEACTIVATED | STAND
LEFT_TURN | ACTIVATED | FAHREN
LEFT_TURN | DEACTIVATED | FAHREN
HIGH_BEAM | ACTIVATED | FAHREN
HIGH_BEAM | DEACTIVATED | FAHREN
