DR | CL | 0%
PS | CL | 0%
DRS | OPG_S | 25%
PRS | CL | 0%
DR | OPG | 0%
PS | CL | 0%
DRS | OP | 100%
PRS | OPG_S | 0%
DR | OPG | 100%
PS | CL | 0%
DRS | OP | 100%
PRS | OPG_S | 0%
DR | OPG | 100%
PS | CL | 100%
DRS | OP | 100%
PRS | OPG_S | 0%
DR | OPG | 100%
PS | CL | 100%
DRS | OP | 100%
PRS | OPG_S | 100%
DR | OPG | 100%
PS | CL | 0%
DRS | OP | 0%
PRS | OPG_S | 0%
DR | OPG | 100%
PS | CL | 100%
DRS | OP | 0%
PRS | OPG_S | 0%
DR | OPG | 100%
PS | CL | 100%
DRS | OP | 100%
PRS | OPG_S | 100%
DR | OPG | 100%
PS | CL | 100%
DRS | OP | 100%
PRS | OPG_S | 0%
DR | CL | 0%
PS | CL | 0%
DRS | CL | 0%
PRS | OPG_S | 100%
DR | OPG_S | 0%
PS | CL | 0%
DRS | CL | 0%
PRS | CL | 0%
DR | OPG_S | 0%
PS | CL | 0%
DRS | CL | 0%
PRS | CL | 0%
DR | OPG_S | 10%
PS | CL | 0%
DRS | CL | 0%
PRS | CL | 0%
DR | OPG_S | 20%
PS | CL | 0%
DRS | CL | 0%
PRS | CL | 0%
DR | OPG_S | 60%
PS | CL | 0%
DRS | CL | 0%
PRS | CL | 0%
DR | OPG_S | 30%
PS | CL | 0%
DRS | CL | 0%
PRS | CL | 0%
DR | OPG_S | 100%
PS | OPG_S | 0%
DRS | OPG_S | 0%
PRS | OPG_S | 0%
DR | OPG_S | 100%
PS | OPG_S | 0%
DRS | OPG_S | 100%
PRS | OPG_S | 0%
DR | OPG_S | 100%
PS | OPG_S | 100%
DRS | OPG_S | 100%
PRS | OPG_S | 0%
DR | OPG_S | 100%
PS | OPG_S | 100%
DRS | OPG_S | 100%
PRS | OPG_S | 100%
DR | OPG_S | 100%
PS | OPG_S | 0%
DRS | OPG_S | 0%
PRS | OPG_S | 0%
DR | OPG_S | 100%
PS | OPG_S | 0%
DRS | OPG_S | 100%
PRS | OPG_S | 0%
DR | OPG_S | 100%
PS | OPG_S | 100%
DRS | OPG_S | 100%
PRS | OPG_S | 0%
DR | OPG_S | 100%
PS | OPG_S | 100%
DRS | OPG_S | 100%
PRS | OPG_S | 100%
DR | OPG_S | 100%
PS | OPG_S | 100%
DRS | OPG_S | 100%
PRS | OPG_S | 100%
DR | OPG_S | 0%
PS | OPG_S | 100%
DRS | OPG_S | 100%
PRS | OPG_S | 100%
DR | OPG_S | 100%
PS | OPG_S | 100%
DRS | OPG_S | 100%
PRS | OPG_S | 100%
DR | OPG_S | 100%
PS | OPG_S | 0%
DRS | OPG_S | 0%
PRS | OPG_S | 0%
DR | OPG_S | 100%
PS | OPG_S | 0%
DRS | OPG_S | 0%
PRS | OPG_S | 0%
DR | OPG_S | 100%
PS | OPG_S | 0%
DRS | OPG_S | 100%
PRS | OPG_S | 0%
DR | OPG_S | 100%
PS | OPG_S | 0%
DRS | OPG_S | 100%
PRS | OPG_S | 100%
DR | OPG_S | 100%
PS | OPG_S | 100%
DRS | OPG_S | 100%
PRS | OPG_S | 100%
DR | OPG_S | 0%
PS | OPG_S | 100%
DRS | OPG_S | 100%
PRS | OPG_S | 100%
DR | OPG_S | 0%
PS | OPG_S | 0%
DRS | OPG_S | 100%
PRS | OPG_S | 100%
PRS | OPG_S | 100 | MANUAL | WHONEN
PRS | OPG_S | 0 | MANUAL | WHONEN
PRS | OPG_S | 100 | MANUAL | WHONEN
DRS | OPG_S | 100 | MANUAL | WHONEN
DRS | FOP | 100 | MANUAL | WHONEN
DRS | OPG_S | 0 | MANUAL | WHONEN
DR | CL | 100 | AUTO | FAHREN
DRS | CL | 100 | AUTO | FAHREN
DR | CL | 0 | AUTO | FAHREN
DR | CL | 100 | AUTO | FAHREN
DRS | FOP | 100 | AUTO | WHONEN
DR | FOP | 100 | AUTO | WHONEN
DRS | FOP | 100 | AUTO | WHONEN
DRS | FOP | 100 | AUTO | WHONEN
PRS | OPG_S | 100 | MANUAL | WHONEN
PRS | OPG_S | 0 | MANUAL | FAHREN
DRS | OPG_S | 0 | MANUAL | FAHREN
PRS | OPG_S | 100 | MANUAL | WHONEN
PRS | OPG_S | 0 | AUTO | FAHREN
PRS | OPG_S | 100 | MANUAL | FAHREN
PRS | OPG_S | 0 | MANUAL | WHONEN
