Window: DR           | Result:  OP     | Level: 75%
Window: DR           | Result:  OP     | Level: 75%
Window: DR           | Result:  OP     | Level: 90%
Window: DR           | Result:  OP     | Level: 90%
Window: DR           | Result:  OP     | Level: 90%
Window: DR           | Result:  OP     | Level: 90%
Window: DR           | Result:  OP     | Level: 90%
Window: DR           | Result:  OP     | Level: 90%
Window: DR           | Result:  OP     | Level: 90%
Window: DR           | Result:  OP     | Level: 90%
Window: DR           | Result:  OP     | Level: 90%
Window: DR           | Result:  OP     | Level: 90%
Window: DR           | Result:  OP     | Level: 90%
Window: DR           | Result:  OP     | Level: 90%
Window: DR           | Result:  OP     | Level: 90%
Window: DR           | Result:  OP     | Level: 55%
Window: DR           | Result:  OP     | Level: 40%
Window: DR           | Result:  OP     | Level: 40%
Window: DR           | Result:  OP     | Level: 40%
Window: DR           | Result:  OP     | Level: 40%
Window: DR           | Result:  OP     | Level: 40%
Window: DR           | Result:  OP     | Level: 40%
Window: DR           | Result:  OP     | Level: 40%
Window: DR           | Result:  OP     | Level: 40%
Window: DR           | Result:  OP     | Level: 40%
Window: DR           | Result:  OP     | Level: 40%
Window: DR           | Result:  OP     | Level: 40%
Window: DR           | Result:  OP     | Level: 40%
Window: DR           | Result:  OP     | Level: 40%
Window: DR           | Result:  OP     | Level: 40%
Window: DR           | Result:  OP     | Level: 40%
Window: DR           | Result:  OP     | Level: 40%
Window: DR           | Result:  OP     | Level: 40%
Window: DR           | Result:  OP     | Level: 40%
Window: DR           | Result:  FOP    | Level: 0%
Window: DR           | Result:  FOP    | Level: 0%
Window: DR           | Result:  OP     | Level: 5%
Window: DR           | Result:  OP     | Level: 25%
Window: DR           | Result:  OP     | Level: 25%
Window: DR           | Result:  OP     | Level: 25%
Window: DR           | Result:  OP     | Level: 30%
Window: DR           | Result:  OP     | Level: 60%
Window: DR           | Result:  OP     | Level: 60%
Window: DR           | Result:  OP     | Level: 60%
Window: DR           | Result:  OP     | Level: 60%
Window: DR           | Result:  OP     | Level: 60%
Window: DR           | Result:  OP     | Level: 60%
Window: DR           | Result:  OP     | Level: 60%
Window: DR           | Result:  OP     | Level: 60%
Window: DR           | Result:  OP     | Level: 60%
Window: DR           | Result:  OP     | Level: 60%
Window: DR           | Result:  OP     | Level: 60%
Window: DR           | Result:  OP     | Level: 60%
Window: DR           | Result:  OP     | Level: 60%
Window: DR           | Result:  OP     | Level: 60%
Window: DR           | Result:  OP     | Level: 60%
Window: DR           | Result:  OP     | Level: 60%
Window: DR           | Result:  OP     | Level: 60%
Window: DR           | Result:  OP     | Level: 60%
Window: DR           | Result:  OP     | Level: 60%
Window: DR           | Result:  OP     | Level: 60%
Window: DR           | Result:  OP     | Level: 60%
Window: DR           | Result:  OP     | Level: 60%
Window: DR           | Result:  OP     | Level: 60%
Window: DR           | Result:  OP     | Level: 60%
Window: DR           | Result:  OP     | Level: 60%
Window: DR           | Result:  OP     | Level: 60%
Window: DR           | Result:  OP     | Level: 60%
Window: DR           | Result:  OP     | Level: 95%
Window: DR           | Result:  OP     | Level: 55%
Window: DR           | Result:  OP     | Level: 20%
Window: DR           | Result:  FOP    | Level: 0%
Window: DR           | Result:  FOP    | Level: 0%
Window: DR           | Result:  FOP    | Level: 0%
Window: DR           | Result:  FOP    | Level: 0%
