Light: Low Beam | Result: activated | Mode: Fahren
Light: Low Beam | Result: deactivated | Mode: Fahren
Light: Hazard Lights | Result: activated | Mode: Stand
Light: Hazard Lights | Result: deactivated | Mode: Stand
Light: Left Turn | Result: activated | Mode: Wohnen
Light: High Beam | Result: activated | Mode: Fahren
Light: High Beam | Result: activated | Mode: Fahren
Light: High Beam | Result: deactivated | Mode: Fahren
Light: Hazard Lights | Result: activated | Mode: Stand
Light: Hazard Lights | Result: deactivated | Mode: Stand
Light: Right Turn | Result: activated
Light: Left Turn | Result: activated | Mode: Wohnen
Light: Left Turn | Result: activated | Mode: Wohnen
Light: Left Turn | Result: activated | Mode: Stand
Light: Left Turn | Result: deactivated | Mode: Wohnen
Light: High Beam | Result: activated | Mode: Fahren
Light: High Beam | Result: deactivated | Mode: Fahren
Light: Hazard Lights | Result: activated | Mode: Stand
Light: Parking Right | Result: activated | Mode: Fahren
Light: Hazard Lights | Result: deactivated | Mode: Stand
Light: Parking Right | Result: deactivated | Mode: Fahren
Light: Hazard Lights | Result: deactivated | Mode: Stand
Light: Hazard Lights | Result: deactivated | Mode: Stand
Light: High Beam | Result: deactivated | Mode: Fahren
Light: Parking Right | Result: activated | Mode: Fahren
Light: High Beam | Result: activated | Mode: Fahren
Light: Hazard Lights | Result: activated | Mode: Stand
Light: Hazard Lights | Result: deactivated | Mode: Stand
Light: Left Turn | Result: deactivated | Mode: Wohnen
Light: Left Turn | Result: activated | Mode: Wohnen
Light: Left Turn | Result: deactivated | Mode: Wohnen
Light: High Beam | Result: deactivated | Mode: Fahren
Light: Parking Right | Result: deactivated | Mode: Fahren
Light: Parking Right | Result: activated | Mode: Fahren
Light: Parking Right | Result: activated | Mode: Wohnen
Light: High Beam | Result: activated | Mode: Fahren
Light: Hazard Lights | Result: activated | Mode: Stand
Light: Hazard Lights | Result: deactivated | Mode: Stand
Light: High Beam | Result: activated | Mode: Fahren
Light: High Beam | Result: deactivated | Mode: Fahren
Light: Hazard Lights | Result: activated | Mode: Stand
Light: Hazard Lights | Result: activated | Mode: Stand
Light: Hazard Lights | Result: activated | Mode: Stand
Light: Hazard Lights | Result: activated | Mode: Stand
Light: High Beam | Result: activated | Mode: Fahren
Light: Low Beam | Result: activated | Mode: Wohnen
Light: Parking Right | Result: deactivated | Mode: Fahren
Light: Parking Left | Result: deactivated | Mode: Fahren
Light: Hazard Lights | Result: FAILED | Mode: Stand
Light: Left Turn | Result: activated | Mode: Wohnen
Light: Right Turn | Result: activated | Mode: Fahren
Light: Right Turn | Result: activated | Mode: Fahren
Light: Right Turn | Result: deactivated | Mode: Fahren
Light: Hazard Lights | Result: FAILED | Mode: Stand
Light: Hazard Lights | Result: activated | Mode: Stand
Light: Hazard Lights | Result: activated | Mode: Stand
Light: Hazard Lights | Result: activated | Mode: Stand
Light: Hazard Lights | Result: activated | Mode: Stand
Light: Hazard Lights | Result: activated | Mode: Stand
Light: Hazard Lights | Result: deactivated | Mode: Stand
Light: Left Turn | Result: activated | Mode: Wohnen
Light: Left Turn | Result: activated | Mode: Wohnen
Light: Left Turn | Result: deactivated | Mode: Wohnen
Light: Hazard Lights | Result: activated | Mode: Stand
Light: Hazard Lights | Result: activated | Mode: Stand
Light: Left Turn | Result: activated | Mode: Wohnen
Light: Left Turn | Result: deactivated | Mode: Wohnen
Light: Hazard Lights | Result: activated | Mode: Stand
Light: Hazard Lights | Result: activated | Mode: Stand
Light: Hazard Lights | Result: deactivated | Mode: Stand
Light: Parking Right | Result: activated | Mode: Wohnen
Light: Parking Left | Result: activated | Mode: Wohnen
Light: Parking Right | Result: deactivated | Mode: Wohnen
Light: Parking Left | Result: deactivated | Mode: Wohnen
Light: Low Beam | Result: activated | Mode: Fahren
Light: High Beam | Result: activated | Mode: Fahren
Light: Low Beam | Result: deactivated | Mode: Fahren
Light: High Beam | Result: activated | Mode: Fahren
Light: High Beam | Result: deactivated | Mode: Fahren
Light: High Beam | Result: activated | Mode: Fahren
Light: High Beam | Result: deactivated | Mode: Fahren
