Window: DR           | Result:  FAILED  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  FAILED  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  FAILED  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  FAILED  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  FAILED  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  FAILED  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  FAILED  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  FAILED  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  FAILED  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  FAILED  | Level: 95% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  FAILED  | Level: 60% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  FAILED  | Level: 20% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  FOP_AD | Level: 0% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  FOP_AD | Level: 0% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  FOP_AD | Level: 0% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  FOP_AD | Level: 0% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  FAILED  | Level: 20% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  FAILED  | Level: 80% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  FAILED  | Level: 90% | Level_type: AUTO | mode: Whonen | safety: ON
Window: DR           | Result:  FAILED  | Level: 20% | Level_type: AUTO | mode: Whonen | safety: ON
Window: DR           | Result:  FOP_AD | Level: 0% | Level_type: AUTO | mode: Whonen | safety: ON
Window: DR           | Result:  FAILED  | Level: 30% | Level_type: AUTO | mode: Whonen | safety: ON
Window: DR           | Result:  FAILED  | Level: 65% | Level_type: AUTO | mode: Whonen | safety: ON
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: ON
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Fahren | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: ON
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: ON
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: ON
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: ON
Window: DR           | Result:  OP_D   | Level: 95% | Level_type: MANUAL | mode: Whonen | safety: ON
Window: DR           | Result:  OP_D   | Level: 90% | Level_type: MANUAL | mode: Whonen | safety: ON
Window: DR           | Result:  OP_D   | Level: 90% | Level_type: MANUAL | mode: Whonen | safety: ON
Window: DR           | Result:  OP_D   | Level: 90% | Level_type: MANUAL | mode: Whonen | safety: ON
Window: DR           | Result:  OP_D   | Level: 90% | Level_type: MANUAL | mode: Whonen | safety: ON
Window: DR           | Result:  OP_D   | Level: 90% | Level_type: MANUAL | mode: Whonen | safety: OFF
Window: DR           | Result:  OP_D   | Level: 90% | Level_type: MANUAL | mode: Whonen | safety: OFF
Window: DR           | Result:  OP_D   | Level: 90% | Level_type: MANUAL | mode: Whonen | safety: OFF
Window: DR           | Result:  OP_D   | Level: 90% | Level_type: MANUAL | mode: Whonen | safety: OFF
Window: DR           | Result:  OP_D   | Level: 90% | Level_type: MANUAL | mode: Whonen | safety: OFF
Window: DR           | Result:  FAILED  | Level: 65% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  FAILED  | Level: 35% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  FAILED  | Level: 70% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  CL_AD  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  FAILED  | Level: 100% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  FAILED  | Level: 75% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  FAILED  | Level: 45% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  FAILED  | Level: 10% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  FOP_AD | Level: 0% | Level_type: AUTO | mode: Whonen | safety: OFF
Window: DR           | Result:  FOP_AD | Level: 0% | Level_type: AUTO | mode: Whonen | safety: ON
Window: DR           | Result:  OP_D   | Level: 20% | Level_type: MANUAL | mode: Whonen | safety: ON
Window: DR           | Result:  OP_D   | Level: 50% | Level_type: MANUAL | mode: Whonen | safety: ON
Window: DR           | Result:  OP_D   | Level: 60% | Level_type: MANUAL | mode: Whonen | safety: ON
