PS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | FAILED | 100 | AUTO | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | OPG | 65 | AUTO | FAHREN | safety_OFF
DR | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | FOP_A | 35 | AUTO | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | FAILED | 100 | AUTO | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | FAILED | 100 | AUTO | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | FAILED | 100 | AUTO | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | FAILED | 100 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | OPG | 65 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
