

=== Monitoring Session 2025-05-19 09:13:35.481328 ===
Window: DR           | Result:  OP     | Level: 0%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  OP     | Level: 0%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  OP     | Level: 0%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  OP     | Level: 0%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  OP     | Level: 0%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  OP     | Level: 0%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  CL     | Level: 50%
Window: PS           | Result:  OP_S   | Level: 25%
